H0AL01055|2026|2026|C00697789|H|P|259584
H0AL01097|2024|2026|C00708867|H|P|259921
H0AL02087|2020|2026|C00493783|H|J|259175
H0AL02202|2024|2026|C00728873|H|P|259960
H0AL05049|2008|2026|C00239038|N|B|260326
H0AL07086|2026|2026|C00458976|H|P|259066
H0AR01083|2026|2026|C00493783|H|J|259190
H0AR01083|2026|2026|C00462374|H|P|259158
H0AR01125|2010|2026|C00480905|H|P|259206
H0AR03030|2010|2026|C00468033|H|P|259144
H0AR03055|2026|2026|C00477745|H|P|259200
H0AR03055|2026|2026|C00497149|N|J|259251
H0AZ01259|2026|2026|C00461806|H|P|259152
H0AZ03321|2014|2026|C00474916|H|P|259147
H0AZ04527|2020|2026|C00717025|H|P|260024
H0AZ05078|2010|2026|C00462432|H|P|259131
H0AZ06068|2020|2026|C00699249|H|P|259669
H0CA03078|2026|2026|C00461061|H|P|259155
H0CA03078|2026|2026|C00519900|N|J|260196
H0CA04167|2020|2026|C00691790|Q|U|260760
H0CA04175|2022|2026|C00704650|N|U|260396
H0CA06170|2026|2026|C00721548|H|P|260199
H0CA07145|2024|2026|C00713966|H|P|260126
H0CA08069|2020|2026|C00698894|N|U|260015
H0CA08127|2020|2026|C00719880|H|P|264041
H0CA08135|2026|2026|C00720078|H|P|260340
H0CA08226|2022|2026|C00761825|H|P|260168
H0CA10073|2026|2026|C00554709|H|P|259308
H0CA10149|2026|2026|C00462697|H|P|259132
H0CA11352|2014|2026|C00545509|H|P|259452
H0CA15148|2016|2026|C00351379|H|P|259004
H0CA15171|2024|2026|C00458117|H|P|259060
H0CA15247|2024|2026|C00840736|H|P|263237
H0CA15262|2020|2026|C00723031|H|P|260274
H0CA17193|2026|2026|C00721878|H|P|260243
H0CA17201|2030|2026|C00897389|H|P|263534
H0CA18068|2024|2026|C00695866|H|P|259823
H0CA19173|2022|2026|C00473272|H|P|259141
H0CA22102|2024|2026|C00830505|H|P|262384
H0CA22110|2026|2026|C00766725|H|P|260307
H0CA25097|2020|2026|C00700955|H|P|259906
H0CA25105|2024|2026|C00701102|H|P|259828
H0CA25170|2020|2026|C00727008|V|U|260022
H0CA31087|2008|2026|C00346296|H|P|258995
H0CA32101|2026|2026|C00458125|H|P|259061
H0CA32333|2020|2026|C00685743|H|P|259767
H0CA35146|2026|2026|C00730812|H|P|259938
H0CA43108|2022|2026|C00705236|H|P|259842
H0CA45160|2022|2026|C00851626|H|P|263154
H0CA47133|2020|2026|C00710798|H|P|260295
H0CA48024|2026|2026|C00721332|H|P|260083
H0CA48172|2026|2026|C00700187|H|P|259890
H0CA48198|2026|2026|C00704981|H|P|259859
H0CA50111|2020|2026|C00696187|H|P|259704
H0CA52091|2024|2026|C00726323|H|P|260072
H0CA53180|2020|2026|C00727867|H|P|260252
H0CA53222|2020|2026|C00730226|H|P|260140
H0CO01136|2020|2026|C00697540|H|P|259747
H0CO03165|2026|2026|C00728238|H|P|259933
H0CO04197|2024|2026|C00697334|H|P|259647
H0CT01134|2024|2026|C00803320|H|P|260420
H0CT02199|2020|2026|C00716456|H|P|260062
H0CT03072|2026|2026|C00238865|H|P|259022
H0CT03163|2022|2026|C00748400|H|P|259930
H0DC00058|2026|2026|C00244335|H|P|259012
H0DC01023|2022|2026|C00909382|H|P|265461
H0DE01017|2016|2026|C00460899|H|P|259148
H0FL01120|2020|2026|C00860296|H|P|261851
H0FL01146|2025|2026|C00847079|H|P|262046
H0FL02086|2022|2026|C00460261|H|P|259156
H0FL02110|2014|2026|C00493783|H|J|259176
H0FL03175|2026|2026|C00730895|H|P|260324
H0FL03209|2020|2026|C00733873|H|P|260146
H0FL04033|2016|2026|C00346767|H|P|258997
H0FL05147|2020|2026|C00698613|H|A|260242
H0FL07143|2020|2026|C00726000|H|P|260038
H0FL08208|2026|2026|C00481911|H|P|259199
H0FL09073|2024|2026|C00698217|H|P|259590
H0FL09115|2024|2026|C00711358|H|P|260316
